AGIC SortID,Taxable Year,AGIC,County,All Returns,All Joint Returns,All Taxable Returns,Dependents On Returns,Adjusted Gross Income,Tax Assessed
22,2019,"200,000 to 299,999",Alameda,58668,47945,58613,58093,"14,242,916,000","832,098,000"
23,2019,"300,000 to 399,999",Alameda,28308,24632,28292,30117,"9,684,080,000","645,411,000"
24,2019,"400,000 to 499,999",Alameda,13215,11409,13203,15165,"5,862,234,000","428,638,000"
25,2019,"500,000 to 999,999",Alameda,16291,14455,16279,19156,"10,741,453,000","881,281,000"
26,2019,"1,000,000 and over",Alameda,5893,5064,5892,5604,"14,980,157,000","1,675,362,000"
1,2019,"Zero and Deficit to 17,999",Alpine,147,23,23,49,"1,183,000",0
2,2019,"18,000 to 29,999",Alpine,60,10,36,24,"1,437,000","7,000"
3,2019,"30,000 to 59,999",Alpine,103,25,77,38,"4,461,000","65,000"
4,2019,"60,000 to 99,999",Alpine,66,41,64,32,"5,164,000","113,000"
5,2019,"100,000 and over",Alpine,77,62,76,38,"14,123,000","722,000"
1,2019,Zero and Deficit,Amador,285,138,,52,"-20,575,000","16,000"
2,2019,"1 to 2,999",Amador,481,80,,61,"646,000",0
3,2019,"3,000 to 5,999",Amador,575,71,57,251,"2,561,000","1,000"
4,2019,"6,000 to 8,999",Amador,492,68,87,121,"3,711,000","3,000"
5,2019,"9,000 to 11,999",Amador,577,93,89,110,"6,090,000","5,000"
6,2019,"12,000 to 14,999",Amador,603,101,50,175,"8,119,000","5,000"
7,2019,"15,000 to 17,999",Amador,577,133,158,166,"9,517,000","10,000"
8,2019,"18,000 to 20,999",Amador,605,134,243,173,"11,772,000","21,000"
9,2019,"21,000 to 23,999",Amador,642,191,313,250,"14,425,000","34,000"
10,2019,"24,000 to 26,999",Amador,622,146,346,198,"15,848,000","60,000"
11,2019,"27,000 to 29,999",Amador,646,133,314,383,"18,543,000","84,000"
12,2019,"30,000 to 34,999",Amador,877,271,499,306,"28,446,000","189,000"
13,2019,"35,000 to 39,999",Amador,767,248,455,294,"28,658,000","240,000"
14,2019,"40,000 to 49,999",Amador,1445,547,991,684,"64,837,000","719,000"
15,2019,"50,000 to 59,999",Amador,1193,537,1002,543,"65,395,000","957,000"
16,2019,"60,000 to 69,999",Amador,989,557,889,446,"63,956,000","1,085,000"
17,2019,"70,000 to 79,999",Amador,816,509,781,467,"61,044,000","1,248,000"
18,2019,"80,000 to 89,999",Amador,738,514,727,369,"62,215,000","1,478,000"
19,2019,"90,000 to 99,999",Amador,617,467,612,367,"58,500,000","1,549,000"
20,2019,"100,000 to 149,999",Amador,1831,1472,1826,1233,"221,705,000","7,821,000"
21,2019,"150,000 to 199,999",Amador,758,649,756,522,"130,011,000","6,301,000"
22,2019,"200,000 to 299,999",Amador,425,378,425,282,"100,514,000","5,966,000"
23,2019,"300,000 to 399,999",Amador,95,81,95,46,"32,167,000","2,213,000"
24,2019,"400,000 to 499,999",Amador,54,47,53,25,"24,107,000","1,734,000"
25,2019,"500,000 to 999,999",Amador,49,37,49,35,"33,978,000","2,865,000"
26,2019,"1,000,000 and over",Amador,23,17,23,6,"36,486,000","3,880,000"
1,2019,Zero and Deficit,Butte,1119,486,10,551,"-83,276,000","10,000"
2,2019,"1 to 2,999",Butte,3011,322,73,523,"4,403,000","1,000"
3,2019,"3,000 to 5,999",Butte,3222,288,398,815,"14,559,000","10,000"
4,2019,"6,000 to 8,999",Butte,3609,320,619,1003,"27,041,000","26,000"
5,2019,"9,000 to 11,999",Butte,3792,361,573,1195,"39,838,000","40,000"
6,2019,"12,000 to 14,999",Butte,3981,401,501,1471,"53,650,000","46,000"
7,2019,"15,000 to 17,999",Butte,4231,488,1246,2145,"69,428,000","132,000"
8,2019,"18,000 to 20,999",Butte,3749,551,1948,1486,"73,202,000","150,000"
9,2019,"21,000 to 23,999",Butte,3701,639,2140,1574,"83,256,000","249,000"
10,2019,"24,000 to 26,999",Butte,3536,655,2069,1642,"90,118,000","357,000"
11,2019,"27,000 to 29,999",Butte,3484,681,2042,1718,"99,407,000","573,000"
12,2019,"30,000 to 34,999",Butte,5334,1174,3266,2776,"172,813,000","1,281,000"
13,2019,"35,000 to 39,999",Butte,4548,1186,2788,2553,"170,424,000","1,547,000"
14,2019,"40,000 to 49,999",Butte,6965,2311,4643,4386,"311,590,000","3,645,000"
15,2019,"50,000 to 59,999",Butte,5349,2145,4255,3241,"293,092,000","4,512,000"
16,2019,"60,000 to 69,999",Butte,4084,2040,3619,2808,"265,089,000","4,869,000"
17,2019,"70,000 to 79,999",Butte,3735,1998,3557,2446,"278,908,000","6,513,000"
18,2019,"80,000 to 89,999",Butte,2905,1817,2842,2135,"246,152,000","6,106,000"
19,2019,"90,000 to 99,999",Butte,2429,1660,2397,1802,"230,472,000","6,487,000"
20,2019,"100,000 to 149,999",Butte,7429,5658,7402,6168,"903,222,000","32,884,000"
21,2019,"150,000 to 199,999",Butte,3531,2770,3519,2927,"611,097,000","31,136,000"
22,2019,"200,000 to 299,999",Butte,1888,1615,1882,1602,"450,729,000","26,706,000"
23,2019,"300,000 to 399,999",Butte,554,464,552,483,"190,322,000","12,896,000"
24,2019,"400,000 to 499,999",Butte,252,221,251,212,"112,127,000","8,263,000"
25,2019,"500,000 to 999,999",Butte,372,330,372,338,"245,260,000","20,390,000"
26,2019,"1,000,000 and over",Butte,146,126,146,96,"310,363,000","33,829,000"
1,2019,Zero and Deficit,Calaveras,377,161,,75,"-28,988,000",0
2,2019,"1 to 2,999",Calaveras,644,93,,139,"898,000",0
3,2019,"3,000 to 5,999",Calaveras,669,113,77,140,"3,005,000","2,000"
4,2019,"6,000 to 8,999",Calaveras,685,100,118,188,"5,135,000","5,000"
5,2019,"9,000 to 11,999",Calaveras,737,135,92,205,"7,766,000","6,000"
6,2019,"12,000 to 14,999",Calaveras,747,132,78,243,"10,090,000","8,000"
7,2019,"15,000 to 17,999",Calaveras,806,155,222,261,"13,293,000","12,000"
8,2019,"18,000 to 20,999",Calaveras,722,143,307,217,"14,077,000","26,000"
9,2019,"21,000 to 23,999",Calaveras,706,178,351,262,"15,883,000","43,000"
10,2019,"24,000 to 26,999",Calaveras,751,225,385,288,"19,141,000","65,000"
11,2019,"27,000 to 29,999",Calaveras,667,191,366,237,"19,025,000","100,000"
12,2019,"30,000 to 34,999",Calaveras,1021,313,578,412,"33,116,000","216,000"
13,2019,"35,000 to 39,999",Calaveras,949,342,551,430,"35,545,000","279,000"
14,2019,"40,000 to 49,999",Calaveras,1536,632,1060,621,"68,918,000","736,000"
15,2019,"50,000 to 59,999",Calaveras,1362,648,1089,661,"74,620,000","1,039,000"
16,2019,"60,000 to 69,999",Calaveras,1040,582,938,522,"67,426,000","1,141,000"
17,2019,"70,000 to 79,999",Calaveras,909,579,867,560,"67,981,000","1,324,000"
18,2019,"80,000 to 89,999",Calaveras,814,555,793,506,"69,103,000","1,607,000"
19,2019,"90,000 to 99,999",Calaveras,699,493,691,437,"66,413,000","1,786,000"
20,2019,"100,000 to 149,999",Calaveras,2276,1762,2268,1501,"276,081,000","9,666,000"
21,2019,"150,000 to 199,999",Calaveras,951,825,950,641,"161,982,000","7,710,000"
22,2019,"200,000 to 299,999",Calaveras,533,472,533,321,"127,565,000","7,404,000"
23,2019,"300,000 to 399,999",Calaveras,254,109,254,66,"81,514,000","6,100,000"
24,2019,"400,000 to 499,999",Calaveras,50,45,50,34,"22,196,000","1,669,000"
25,2019,"500,000 to 999,999",Calaveras,67,53,67,25,"46,984,000","3,821,000"
26,2019,"1,000,000 and over",Calaveras,23,17,23,11,"66,243,000","7,294,000"
1,2019,Zero and Deficit,Colusa,145,61,,81,"-21,457,000",0
2,2019,"1 to 2,999",Colusa,239,28,,55,"383,000",0
3,2019,"3,000 to 5,999",Colusa,320,30,67,70,"1,502,000","1,000"
4,2019,"6,000 to 8,999",Colusa,386,34,98,135,"2,882,000","3,000"
5,2019,"9,000 to 11,999",Colusa,415,46,82,206,"4,363,000","5,000"
6,2019,"12,000 to 14,999",Colusa,408,55,61,206,"5,543,000","6,000"
7,2019,"15,000 to 17,999",Colusa,465,72,161,239,"7,640,000","13,000"
8,2019,"18,000 to 20,999",Colusa,517,150,218,250,"10,189,000","19,000"
9,2019,"21,000 to 23,999",Colusa,410,91,190,282,"9,175,000","24,000"
10,2019,"24,000 to 26,999",Colusa,371,90,168,261,"9,493,000","30,000"
11,2019,"27,000 to 29,999",Colusa,415,100,194,258,"11,839,000","55,000"
12,2019,"30,000 to 34,999",Colusa,717,276,310,816,"23,247,000","121,000"
13,2019,"35,000 to 39,999",Colusa,585,203,287,477,"21,957,000","158,000"
14,2019,"40,000 to 49,999",Colusa,1002,403,507,1080,"44,953,000","382,000"
15,2019,"50,000 to 59,999",Colusa,797,391,525,881,"43,572,000","504,000"
16,2019,"60,000 to 69,999",Colusa,585,354,453,735,"37,858,000","512,000"
17,2019,"70,000 to 79,999",Colusa,456,302,415,572,"34,155,000","593,000"
18,2019,"80,000 to 89,999",Colusa,370,270,360,512,"31,428,000","636,000"
19,2019,"90,000 to 99,999",Colusa,229,183,226,245,"21,689,000","555,000"
20,2019,"100,000 to 149,999",Colusa,622,508,614,726,"75,010,000","2,543,000"
21,2019,"150,000 to 199,999",Colusa,214,180,214,194,"36,470,000","1,794,000"
22,2019,"200,000 to 299,999",Colusa,148,128,147,108,"35,580,000","2,176,000"
23,2019,"300,000 to 399,999",Colusa,53,47,53,37,"18,342,000","1,288,000"
24,2019,"400,000 to 499,999",Colusa,32,27,32,14,"14,556,000","1,107,000"
25,2019,"500,000 to 999,999",Colusa,33,27,33,25,"22,236,000","1,862,000"
26,2019,"1,000,000 and over",Colusa,20,14,20,15,"51,499,000","6,026,000"
15,2019,"50,000 to 59,999",Contra Costa,33125,9121,26603,17972,"1,816,995,000","31,817,000"
16,2019,"60,000 to 69,999",Contra Costa,27790,9408,24440,16237,"1,802,493,000","37,875,000"
17,2019,"70,000 to 79,999",Contra Costa,22997,9051,21462,14016,"1,721,916,000","42,633,000"
18,2019,"80,000 to 89,999",Contra Costa,20786,9607,19871,13397,"1,763,705,000","48,074,000"
19,2019,"90,000 to 99,999",Contra Costa,17804,8652,17442,11682,"1,689,472,000","52,143,000"
20,2019,"100,000 to 149,999",Contra Costa,62130,37855,61681,45963,"7,641,613,000","291,709,000"
21,2019,"150,000 to 199,999",Contra Costa,34251,25592,34162,30501,"5,905,286,000","280,752,000"
22,2019,"200,000 to 299,999",Contra Costa,31436,26492,31403,31453,"7,605,233,000","435,713,000"
23,2019,"300,000 to 399,999",Contra Costa,13577,11516,13562,14688,"4,672,732,000","310,013,000"
24,2019,"400,000 to 499,999",Contra Costa,6143,5493,6139,7458,"2,737,114,000","196,875,000"
25,2019,"500,000 to 999,999",Contra Costa,8976,7984,8964,11019,"6,033,415,000","488,108,000"
26,2019,"1,000,000 and over",Contra Costa,3916,3408,3915,4756,"11,456,143,000","1,290,227,000"
1,2019,Zero and Deficit,Contra Costa,4533,1561,78,1614,"-835,067,000","170,000"
2,2019,"1 to 2,999",Contra Costa,13450,1051,847,1469,"19,776,000","23,000"
3,2019,"3,000 to 5,999",Contra Costa,15611,934,3076,1976,"70,666,000","109,000"
4,2019,"6,000 to 8,999",Contra Costa,15321,1271,4393,3163,"114,908,000","239,000"
5,2019,"9,000 to 11,999",Contra Costa,16133,1459,3942,4455,"169,966,000","364,000"
6,2019,"12,000 to 14,999",Contra Costa,16103,1737,2762,6305,"216,358,000","362,000"
7,2019,"15,000 to 17,999",Contra Costa,14645,1863,5456,5579,"241,478,000","501,000"
8,2019,"18,000 to 20,999",Contra Costa,14136,2032,7361,5712,"275,352,000","798,000"
9,2019,"21,000 to 23,999",Contra Costa,13694,2274,7593,5931,"307,886,000","1,106,000"
10,2019,"24,000 to 26,999",Contra Costa,14081,2429,8350,5919,"358,411,000","2,532,000"
11,2019,"27,000 to 29,999",Contra Costa,13434,2451,7855,6014,"382,738,000","2,322,000"
12,2019,"30,000 to 34,999",Contra Costa,23310,4308,14019,11589,"756,190,000","5,860,000"
13,2019,"35,000 to 39,999",Contra Costa,20329,4272,12680,10261,"761,367,000","7,283,000"
14,2019,"40,000 to 49,999",Contra Costa,37896,9393,26388,19426,"1,699,542,000","22,425,000"
1,2019,Zero and Deficit,Del Norte,144,57,0,72,"-12,724,000",0
2,2019,"1 to 2,999",Del Norte,351,33,,119,"463,000",0
3,2019,"3,000 to 5,999",Del Norte,391,48,50,141,"1,751,000","1,000"
4,2019,"6,000 to 8,999",Del Norte,398,59,61,148,"2,997,000","2,000"
5,2019,"9,000 to 11,999",Del Norte,405,57,54,207,"4,281,000","6,000"
6,2019,"12,000 to 14,999",Del Norte,419,56,25,229,"5,648,000","2,000"
7,2019,"15,000 to 17,999",Del Norte,448,77,122,234,"7,381,000","6,000"
8,2019,"18,000 to 20,999",Del Norte,360,60,169,160,"7,054,000","12,000"
9,2019,"21,000 to 23,999",Del Norte,406,86,185,246,"9,157,000","24,000"
10,2019,"24,000 to 26,999",Del Norte,441,92,218,300,"11,286,000","38,000"
11,2019,"27,000 to 29,999",Del Norte,399,91,212,228,"11,381,000","59,000"
12,2019,"30,000 to 34,999",Del Norte,648,171,336,468,"21,052,000","127,000"
13,2019,"35,000 to 39,999",Del Norte,530,180,290,348,"19,838,000","146,000"
14,2019,"40,000 to 49,999",Del Norte,869,343,543,586,"38,799,000","386,000"
15,2019,"50,000 to 59,999",Del Norte,577,269,456,413,"31,644,000","432,000"
16,2019,"60,000 to 69,999",Del Norte,483,271,437,299,"31,351,000","558,000"
17,2019,"70,000 to 79,999",Del Norte,383,237,355,324,"28,716,000","575,000"
18,2019,"80,000 to 89,999",Del Norte,333,233,324,271,"28,336,000","678,000"
19,2019,"90,000 to 99,999",Del Norte,269,211,266,253,"25,508,000","669,000"
20,2019,"100,000 to 149,999",Del Norte,943,795,938,739,"111,431,000","3,801,000"
21,2019,"150,000 to 199,999",Del Norte,217,198,215,200,"37,195,000","1,741,000"
22,2019,"200,000 to 299,999",Del Norte,100,87,100,66,"23,254,000","1,355,000"
23,2019,"300,000 to 399,999",Del Norte,17,16,17,,"5,660,000","351,000"
24,2019,"400,000 to 499,999",Del Norte,,,,,"4,438,000","287,000"
25,2019,"500,000 to 999,999",Del Norte,18,,18,,"11,427,000","918,000"
26,2019,"1,000,000 and over",Del Norte,,,,,"11,752,000","1,281,000"
1,2019,Zero and Deficit,El Dorado,1254,505,19,436,"-78,872,000","35,000"
2,2019,"1 to 2,999",El Dorado,2993,295,212,320,"4,009,000","5,000"
3,2019,"3,000 to 5,999",El Dorado,2880,252,558,357,"13,052,000","16,000"
4,2019,"6,000 to 8,999",El Dorado,3007,287,869,435,"22,574,000","43,000"
5,2019,"9,000 to 11,999",El Dorado,3205,342,643,843,"34,028,000","53,000"
6,2019,"12,000 to 14,999",El Dorado,2898,361,519,659,"39,038,000","75,000"
7,2019,"15,000 to 17,999",El Dorado,2705,423,946,773,"44,628,000","87,000"
8,2019,"18,000 to 20,999",El Dorado,2967,689,1417,1419,"57,571,000","131,000"
9,2019,"21,000 to 23,999",El Dorado,2813,554,1638,847,"63,343,000","209,000"
10,2019,"24,000 to 26,999",El Dorado,2849,557,1718,883,"72,646,000","302,000"
11,2019,"27,000 to 29,999",El Dorado,2707,606,1622,850,"77,048,000","459,000"
12,2019,"30,000 to 34,999",El Dorado,4103,967,2575,1492,"133,105,000","998,000"
13,2019,"35,000 to 39,999",El Dorado,3559,1006,2241,1346,"133,191,000","1,232,000"
14,2019,"40,000 to 49,999",El Dorado,5940,2046,4133,2420,"266,593,000","3,184,000"
15,2019,"50,000 to 59,999",El Dorado,5202,2268,4151,2543,"285,560,000","4,168,000"
16,2019,"60,000 to 69,999",El Dorado,4526,2265,4030,2128,"292,856,000","5,375,000"
17,2019,"70,000 to 79,999",El Dorado,3707,2057,3487,1998,"277,605,000","5,911,000"
18,2019,"80,000 to 89,999",El Dorado,3810,2568,3707,2922,"322,977,000","6,925,000"
19,2019,"90,000 to 99,999",El Dorado,2871,1940,2815,1729,"272,493,000","7,327,000"
20,2019,"100,000 to 149,999",El Dorado,10923,8384,10869,8507,"1,333,341,000","45,302,000"
21,2019,"150,000 to 199,999",El Dorado,5956,5106,5940,5653,"1,030,101,000","47,432,000"
22,2019,"200,000 to 299,999",El Dorado,5020,4478,5011,5193,"1,208,082,000","68,939,000"
23,2019,"300,000 to 399,999",El Dorado,1816,1632,1814,1948,"621,614,000","41,385,000"
24,2019,"400,000 to 499,999",El Dorado,810,720,810,971,"357,953,000","26,070,000"
25,2019,"500,000 to 999,999",El Dorado,895,794,895,990,"599,883,000","48,927,000"
26,2019,"1,000,000 and over",El Dorado,340,282,340,298,"876,799,000","95,859,000"
1,2019,Zero and Deficit,Fresno,3552,1358,47,1828,"-546,705,000","243,000"
2,2019,"1 to 2,999",Fresno,10905,1027,380,2577,"16,563,000","22,000"
3,2019,"3,000 to 5,999",Fresno,14212,1187,1642,5652,"64,991,000","31,000"
4,2019,"6,000 to 8,999",Fresno,17341,1969,2951,8783,"131,030,000","119,000"
5,2019,"9,000 to 11,999",Fresno,20524,1963,2630,11371,"216,242,000","180,000"
6,2019,"12,000 to 14,999",Fresno,22868,2361,2308,17224,"310,039,000","238,000"
7,2019,"15,000 to 17,999",Fresno,20954,3009,6284,15653,"345,323,000","388,000"
8,2019,"18,000 to 20,999",Fresno,19513,2908,8283,15282,"380,182,000","705,000"
9,2019,"21,000 to 23,999",Fresno,19351,3421,8572,15379,"435,039,000","1,115,000"
10,2019,"24,000 to 26,999",Fresno,19374,3604,8724,15888,"493,209,000","1,620,000"
11,2019,"27,000 to 29,999",Fresno,17650,3647,7869,15235,"502,565,000","2,182,000"
12,2019,"30,000 to 34,999",Fresno,26985,6491,12582,25141,"875,276,000","4,877,000"
13,2019,"35,000 to 39,999",Fresno,22846,6109,10768,22091,"854,848,000","5,746,000"
14,2019,"40,000 to 49,999",Fresno,35020,11743,20045,34628,"1,564,111,000","15,078,000"
15,2019,"50,000 to 59,999",Fresno,25236,10179,17572,24222,"1,382,433,000","17,603,000"
16,2019,"60,000 to 69,999",Fresno,18932,8872,15850,18047,"1,226,139,000","20,145,000"
17,2019,"70,000 to 79,999",Fresno,14794,7934,13649,14423,"1,106,822,000","21,847,000"
18,2019,"80,000 to 89,999",Fresno,12042,7015,11631,11768,"1,020,512,000","24,238,000"
19,2019,"90,000 to 99,999",Fresno,9679,6358,9517,9468,"917,714,000","24,454,000"
20,2019,"100,000 to 149,999",Fresno,28556,21878,28401,30218,"3,446,860,000","118,295,000"
21,2019,"150,000 to 199,999",Fresno,12593,10341,12198,13521,"2,140,642,000","97,740,000"
22,2019,"200,000 to 299,999",Fresno,7267,6291,7237,7736,"1,733,068,000","100,037,000"
23,2019,"300,000 to 399,999",Fresno,2307,1916,2287,2322,"792,270,000","52,862,000"
24,2019,"400,000 to 499,999",Fresno,1100,918,1094,1133,"489,738,000","35,491,000"
25,2019,"500,000 to 999,999",Fresno,1750,1472,1734,1567,"1,172,477,000","94,430,000"
26,2019,"1,000,000 and over",Fresno,775,619,772,647,"1,912,514,000","201,950,000"
1,2019,Zero and Deficit,Glenn,431,314,,360,"-58,909,000","1,000"
2,2019,"1 to 2,999",Glenn,284,37,,68,"452,000",0
3,2019,"3,000 to 5,999",Glenn,417,48,60,104,"1,904,000","1,000"
4,2019,"6,000 to 8,999",Glenn,459,55,90,143,"3,449,000","3,000"
5,2019,"9,000 to 11,999",Glenn,481,68,77,192,"5,081,000","5,000"
6,2019,"12,000 to 14,999",Glenn,548,74,77,277,"7,431,000","7,000"
7,2019,"15,000 to 17,999",Glenn,553,93,163,321,"9,101,000","10,000"
8,2019,"18,000 to 20,999",Glenn,535,88,276,300,"10,370,000","23,000"
9,2019,"21,000 to 23,999",Glenn,521,108,272,333,"11,758,000","33,000"
10,2019,"24,000 to 26,999",Glenn,542,127,267,372,"13,824,000","49,000"
11,2019,"27,000 to 29,999",Glenn,560,154,251,468,"15,916,000","70,000"
12,2019,"30,000 to 34,999",Glenn,867,220,436,706,"28,145,000","175,000"
13,2019,"35,000 to 39,999",Glenn,770,262,366,705,"28,963,000","196,000"
14,2019,"40,000 to 49,999",Glenn,1273,500,706,1241,"56,760,000","529,000"
15,2019,"50,000 to 59,999",Glenn,916,469,649,861,"50,204,000","642,000"
16,2019,"60,000 to 69,999",Glenn,716,464,590,758,"46,419,000","640,000"
17,2019,"70,000 to 79,999",Glenn,486,346,456,523,"36,384,000","648,000"
18,2019,"80,000 to 89,999",Glenn,437,338,428,470,"37,108,000","795,000"
19,2019,"90,000 to 99,999",Glenn,312,241,308,340,"29,563,000","753,000"
20,2019,"100,000 to 149,999",Glenn,828,718,827,827,"99,519,000","3,427,000"
21,2019,"150,000 to 199,999",Glenn,266,233,266,273,"45,523,000","2,269,000"
22,2019,"200,000 to 299,999",Glenn,172,150,172,143,"40,229,000","2,399,000"
23,2019,"300,000 to 399,999",Glenn,48,37,48,26,"16,377,000","1,132,000"
24,2019,"400,000 to 499,999",Glenn,31,,31,20,"13,923,000","1,082,000"
25,2019,"500,000 to 999,999",Glenn,35,31,35,,"23,967,000","2,077,000"
26,2019,"1,000,000 and over",Glenn,11,,11,,"16,501,000","1,675,000"
1,2019,Zero and Deficit,Humboldt,1030,473,15,390,"-62,439,000","5,000"
2,2019,"1 to 2,999",Humboldt,1835,142,77,445,"2,644,000","2,000"
3,2019,"3,000 to 5,999",Humboldt,2149,168,214,476,"9,844,000","6,000"
4,2019,"6,000 to 8,999",Humboldt,2389,196,334,634,"17,947,000","19,000"
5,2019,"9,000 to 11,999",Humboldt,2979,214,278,1112,"31,252,000","25,000"
6,2019,"12,000 to 14,999",Humboldt,2616,261,260,882,"35,310,000","29,000"
7,2019,"15,000 to 17,999",Humboldt,2571,315,686,958,"42,431,000","47,000"
8,2019,"18,000 to 20,999",Humboldt,2671,333,1392,1034,"52,001,000","100,000"
9,2019,"21,000 to 23,999",Humboldt,2537,379,1552,957,"57,069,000","178,000"
10,2019,"24,000 to 26,999",Humboldt,2521,414,1591,1021,"64,299,000","273,000"
11,2019,"27,000 to 29,999",Humboldt,2292,403,1429,1015,"65,257,000","388,000"
12,2019,"30,000 to 34,999",Humboldt,3665,751,2272,1720,"119,033,000","897,000"
13,2019,"35,000 to 39,999",Humboldt,3170,737,2009,1565,"118,727,000","1,104,000"
14,2019,"40,000 to 49,999",Humboldt,4869,1502,3418,2587,"217,815,000","2,754,000"
15,2019,"50,000 to 59,999",Humboldt,3581,1416,2903,1989,"196,286,000","3,108,000"
16,2019,"60,000 to 69,999",Humboldt,2826,1436,2505,1830,"183,414,000","3,375,000"
17,2019,"70,000 to 79,999",Humboldt,2254,1258,2155,1398,"168,595,000","3,750,000"
18,2019,"80,000 to 89,999",Humboldt,1832,1189,1799,1224,"155,373,000","3,871,000"
19,2019,"90,000 to 99,999",Humboldt,1422,1022,1410,985,"134,887,000","3,767,000"
20,2019,"100,000 to 149,999",Humboldt,4189,3252,4163,3233,"504,753,000","18,270,000"
21,2019,"150,000 to 199,999",Humboldt,1452,1199,1449,1170,"248,023,000","12,265,000"
22,2019,"200,000 to 299,999",Humboldt,1071,914,1068,1467,"265,398,000","15,796,000"
23,2019,"300,000 to 399,999",Humboldt,283,201,283,181,"96,780,000","6,798,000"
24,2019,"400,000 to 499,999",Humboldt,130,92,128,104,"57,592,000","4,302,000"
25,2019,"500,000 to 999,999",Humboldt,189,143,188,154,"127,964,000","10,636,000"
26,2019,"1,000,000 and over",Humboldt,67,52,67,32,"130,444,000","13,018,000"
7,2019,"15,000 to 17,999",Imperial,5188,1612,1151,4887,"85,902,000","61,000"
8,2019,"18,000 to 20,999",Imperial,3950,983,1345,3588,"76,880,000","114,000"
9,2019,"21,000 to 23,999",Imperial,3804,1056,1345,3613,"85,530,000","177,000"
10,2019,"24,000 to 26,999",Imperial,3868,1261,1284,4000,"98,397,000","251,000"
11,2019,"27,000 to 29,999",Imperial,4124,1097,1949,3300,"118,118,000","636,000"
12,2019,"30,000 to 34,999",Imperial,4554,1636,1785,4854,"147,580,000","615,000"
13,2019,"35,000 to 39,999",Imperial,3656,1479,1484,4055,"136,645,000","731,000"
14,2019,"40,000 to 49,999",Imperial,5511,2602,2637,6597,"246,118,000","1,759,000"
15,2019,"50,000 to 59,999",Imperial,4105,2075,2606,4977,"224,945,000","2,242,000"
16,2019,"60,000 to 69,999",Imperial,3124,1616,2433,4057,"202,487,000","2,755,000"
17,2019,"70,000 to 79,999",Imperial,2435,1373,2232,3059,"182,167,000","3,130,000"
18,2019,"80,000 to 89,999",Imperial,1938,1137,1867,2466,"164,339,000","3,514,000"
19,2019,"90,000 to 99,999",Imperial,1572,992,1556,2008,"149,112,000","3,835,000"
20,2019,"100,000 to 149,999",Imperial,4398,3265,4386,6049,"528,104,000","17,763,000"
21,2019,"150,000 to 199,999",Imperial,1383,1225,1381,1838,"235,398,000","11,042,000"
22,2019,"200,000 to 299,999",Imperial,685,611,684,776,"160,139,000","9,391,000"
23,2019,"300,000 to 399,999",Imperial,159,135,159,148,"53,984,000","3,697,000"
24,2019,"400,000 to 499,999",Imperial,58,46,58,56,"25,588,000","1,936,000"
25,2019,"500,000 to 999,999",Imperial,129,108,128,103,"85,832,000","6,961,000"
26,2019,"1,000,000 and over",Imperial,78,66,78,50,"182,353,000","20,249,000"
1,2019,Zero and Deficit,Imperial,286,117,,302,"-17,267,000","4,000"
2,2019,"1 to 2,999",Imperial,2368,296,,627,"3,813,000","2,000"
3,2019,"3,000 to 5,999",Imperial,3545,446,265,1547,"16,354,000","5,000"
